series,family,mode,param_name,param,ef,config_label,experiment,mean_recall,mean_query_qps,file
FreshDiskANN off,FreshDiskANN,off,R,32,40,FreshDiskANN R32/ef40,R32-ef40,0.9775800000000001,4569.689702238565,../results/msong/streamseed_hybrid_freshdiskann_grid_off/R32-ef40/R32-ef40_final_results.csv
FreshDiskANN off,FreshDiskANN,off,R,32,120,FreshDiskANN R32/ef120,R32-ef120,0.9944,3546.1157473297576,../results/msong/streamseed_hybrid_freshdiskann_grid_off/R32-ef120/R32-ef120_final_results.csv
FreshDiskANN off,FreshDiskANN,off,R,40,40,FreshDiskANN R40/ef40,R40-ef40,0.98253,4028.1573391774273,../results/msong/streamseed_hybrid_freshdiskann_grid_off/R40-ef40/R40-ef40_final_results.csv
FreshDiskANN off,FreshDiskANN,off,R,40,120,FreshDiskANN R40/ef120,R40-ef120,0.9977099999999999,3480.6823525042664,../results/msong/streamseed_hybrid_freshdiskann_grid_off/R40-ef120/R40-ef120_final_results.csv
FreshDiskANN off,FreshDiskANN,off,R,48,40,FreshDiskANN R48/ef40,R48-ef40,0.98655,3745.3022017459134,../results/msong/streamseed_hybrid_freshdiskann_grid_off/R48-ef40/R48-ef40_final_results.csv
FreshDiskANN off,FreshDiskANN,off,R,48,120,FreshDiskANN R48/ef120,R48-ef120,0.9984999999999999,3239.334176795108,../results/msong/streamseed_hybrid_freshdiskann_grid_off/R48-ef120/R48-ef120_final_results.csv
FreshDiskANN on,FreshDiskANN,on,R,32,40,FreshDiskANN R32/ef40,R32-ef40,0.97049,7336.748544017871,../results/msong/streamseed_hybrid_freshdiskann_grid_on/R32-ef40/R32-ef40_final_results.csv
FreshDiskANN on,FreshDiskANN,on,R,32,120,FreshDiskANN R32/ef120,R32-ef120,0.9859199999999998,4976.203965506964,../results/msong/streamseed_hybrid_freshdiskann_grid_on/R32-ef120/R32-ef120_final_results.csv
FreshDiskANN on,FreshDiskANN,on,R,40,40,FreshDiskANN R40/ef40,R40-ef40,0.9755399999999999,6417.26072914285,../results/msong/streamseed_hybrid_freshdiskann_grid_on/R40-ef40/R40-ef40_final_results.csv
FreshDiskANN on,FreshDiskANN,on,R,40,120,FreshDiskANN R40/ef120,R40-ef120,0.98931,5087.144710607345,../results/msong/streamseed_hybrid_freshdiskann_grid_on/R40-ef120/R40-ef120_final_results.csv
FreshDiskANN on,FreshDiskANN,on,R,48,40,FreshDiskANN R48/ef40,R48-ef40,0.98116,5884.7852844854015,../results/msong/streamseed_hybrid_freshdiskann_grid_on/R48-ef40/R48-ef40_final_results.csv
FreshDiskANN on,FreshDiskANN,on,R,48,120,FreshDiskANN R48/ef120,R48-ef120,0.99125,5289.024847758414,../results/msong/streamseed_hybrid_freshdiskann_grid_on/R48-ef120/R48-ef120_final_results.csv
HNSW off,HNSW,off,k,16,40,HNSW k16/ef40,indexkey16-ef40,0.7647300000000001,10880.094050249969,../results/msong/streamseed_hybrid_grid_off/indexkey16-ef40/indexkey16-ef40_final_results.csv
HNSW off,HNSW,off,k,16,120,HNSW k16/ef120,indexkey16-ef120,0.7670999999999999,10449.858812828395,../results/msong/streamseed_hybrid_grid_off/indexkey16-ef120/indexkey16-ef120_final_results.csv
HNSW off,HNSW,off,k,24,40,HNSW k24/ef40,indexkey24-ef40,0.8705800000000002,9767.782585050874,../results/msong/streamseed_hybrid_grid_off/indexkey24-ef40/indexkey24-ef40_final_results.csv
HNSW off,HNSW,off,k,24,120,HNSW k24/ef120,indexkey24-ef120,0.87291,9456.858016607586,../results/msong/streamseed_hybrid_grid_off/indexkey24-ef120/indexkey24-ef120_final_results.csv
HNSW off,HNSW,off,k,32,40,HNSW k32/ef40,indexkey32-ef40,0.9119700000000001,8462.56827462413,../results/msong/streamseed_hybrid_grid_off/indexkey32-ef40/indexkey32-ef40_final_results.csv
HNSW off,HNSW,off,k,32,120,HNSW k32/ef120,indexkey32-ef120,0.9148100000000001,7871.044399634753,../results/msong/streamseed_hybrid_grid_off/indexkey32-ef120/indexkey32-ef120_final_results.csv
HNSW on,HNSW,on,k,16,40,HNSW k16/ef40,indexkey16-ef40-on,0.77499,21064.2812442495,../results/msong/streamseed_hybrid_grid_on/indexkey16-ef40-on/indexkey16-ef40-on_final_results.csv
HNSW on,HNSW,on,k,16,120,HNSW k16/ef120,indexkey16-ef120-on,0.77408,20439.982850951714,../results/msong/streamseed_hybrid_grid_on/indexkey16-ef120-on/indexkey16-ef120-on_final_results.csv
HNSW on,HNSW,on,k,24,40,HNSW k24/ef40,indexkey24-ef40-on,0.92048,13652.688316276272,../results/msong/streamseed_hybrid_grid_on/indexkey24-ef40-on/indexkey24-ef40-on_final_results.csv
HNSW on,HNSW,on,k,24,120,HNSW k24/ef120,indexkey24-ef120-on,0.9211500000000001,11790.638309554277,../results/msong/streamseed_hybrid_grid_on/indexkey24-ef120-on/indexkey24-ef120-on_final_results.csv
HNSW on,HNSW,on,k,32,40,HNSW k32/ef40,indexkey32-ef40-on,0.9419100000000001,11196.424094033708,../results/msong/streamseed_hybrid_grid_on/indexkey32-ef40-on/indexkey32-ef40-on_final_results.csv
HNSW on,HNSW,on,k,32,120,HNSW k32/ef120,indexkey32-ef120-on,0.94325,10641.94603605655,../results/msong/streamseed_hybrid_grid_on/indexkey32-ef120-on/indexkey32-ef120-on_final_results.csv
SymphonyQG off,SymphonyQG,off,d,32,40,SymphonyQG d32/ef40,ef-40-degree-32,0.66157,5932.397340157964,../results/msong/streamseed_hybrid_symphonyqg_grid_off/ef-40-degree-32/ef-40-degree-32_final_results.csv
