dataset,algo_label,mean_query_qps,mean_recall,family
glove,HNSW,9479.862579496048,0.5895485714285714,HNSW
glove,HNSW-BriskSeed,19349.813900858884,0.6689228571428572,HNSW
msong,HNSW,7298.730959985475,0.9131520000000001,HNSW
msong,HNSW-BriskSeed,10745.134106770543,0.94176,HNSW
sift,HNSW,23480.773301103567,0.8636546800000001,HNSW
sift,HNSW-BriskSeed,57270.46299848079,0.88628084,HNSW
glove,SymphonyQG,4799.25212010374,0.5000407142857143,SymphonyQG
glove,SymphonyQG-BriskSeed,8888.578957438167,0.499635,SymphonyQG
msong,SymphonyQG,4437.466361446685,0.6826,SymphonyQG
sift,SymphonyQG,12530.819541239089,0.66228008,SymphonyQG
sift,SymphonyQG-BriskSeed,41795.26141890211,0.66256688,SymphonyQG
glove,FreshDiskANN,4241.860681601817,0.76752,FreshDiskANN
glove,FreshDiskANN-BriskSeed,7598.7827083642405,0.7727171428571429,FreshDiskANN
msong,FreshDiskANN,3702.747186230899,0.986568,FreshDiskANN
msong,FreshDiskANN-BriskSeed,6098.727975463073,0.97911,FreshDiskANN
sift,FreshDiskANN,32863.80744727523,0.98015694,FreshDiskANN
sift,FreshDiskANN-BriskSeed,59798.10437939943,0.9683586000000001,FreshDiskANN
