algorithm,title,mode,thread,mean_query_qps,file
streamseed_hybrid,HNSW,off,1,8848.959551119398,../results/sift/streamseed_hybrid/thread1-off/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,off,2,19544.761391538614,../results/sift/streamseed_hybrid/thread2-off/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,off,4,34052.7182666777,../results/sift/streamseed_hybrid/thread4-off/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,off,8,57431.389104090296,../results/sift/streamseed_hybrid/thread8-off/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,off,16,89109.08898592269,../results/sift/streamseed_hybrid/thread16-off/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,on,1,17026.07349091909,../results/sift/streamseed_hybrid/thread1-on/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,on,2,34961.28598930635,../results/sift/streamseed_hybrid/thread2-on/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,on,4,55755.27992931821,../results/sift/streamseed_hybrid/thread4-on/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,on,8,93554.10495762038,../results/sift/streamseed_hybrid/thread8-on/ef-120_batch_query_qps.csv
streamseed_hybrid,HNSW,on,16,120278.87154985497,../results/sift/streamseed_hybrid/thread16-on/ef-120_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,off,1,4211.881151951103,../results/sift/streamseed_hybrid_freshdiskann/thread1-off/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,off,2,8708.689502435287,../results/sift/streamseed_hybrid_freshdiskann/thread2-off/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,off,4,14642.752055365048,../results/sift/streamseed_hybrid_freshdiskann/thread4-off/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,off,8,23843.91166015672,../results/sift/streamseed_hybrid_freshdiskann/thread8-off/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,off,16,35118.328032542086,../results/sift/streamseed_hybrid_freshdiskann/thread16-off/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,on,1,12094.671486785486,../results/sift/streamseed_hybrid_freshdiskann/thread1-on/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,on,2,19200.99127293866,../results/sift/streamseed_hybrid_freshdiskann/thread2-on/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,on,4,32885.62701512048,../results/sift/streamseed_hybrid_freshdiskann/thread4-on/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,on,8,48960.4087205578,../results/sift/streamseed_hybrid_freshdiskann/thread8-on/L-120_R-48_batch_query_qps.csv
streamseed_hybrid_freshdiskann,FreshDiskANN,on,16,64937.539495584366,../results/sift/streamseed_hybrid_freshdiskann/thread16-on/L-120_R-48_batch_query_qps.csv
