batch_idx,recall,query_qps,test_id,mode,series,file
0,0.87739,35758.53061335843,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
1,0.87271,36068.05826194485,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
2,0.86855,35148.51559822309,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
3,0.8661900000000001,35187.4092903464,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
4,0.8627100000000001,34200.35355742699,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
5,0.8615700000000001,34066.90729989376,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
6,0.85906,34891.93766824948,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
7,0.8574800000000001,35115.99830544518,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
8,0.8560800000000001,34250.176382973164,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
9,0.85431,34552.47328020404,1,off,HNSW,../results/sift/streamseed_hybrid/test1-5w-updates/test1-5w-updates_final_results.csv
0,0.8770900000000001,39067.07798691525,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
1,0.87228,38065.98169806988,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
2,0.86945,37081.112812479005,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
3,0.8667800000000001,36441.502768536775,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
4,0.8634300000000001,36202.70318092876,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
5,0.8627300000000001,36537.6587626531,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
6,0.8598400000000002,35241.95791269131,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
7,0.8583700000000001,34373.99042941427,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
8,0.8572700000000001,35479.94268129072,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
9,0.85561,36936.6794095139,2,off,HNSW,../results/sift/streamseed_hybrid/test2-5w-updates/test2-5w-updates_final_results.csv
0,0.8764900000000001,32859.18423625561,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
1,0.8729900000000002,30140.39346387475,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
2,0.86966,32160.222053535144,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
3,0.8664,31784.97514752722,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
4,0.86293,31295.6847318869,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
5,0.86087,31403.4231293332,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
6,0.8592600000000002,32296.09849211097,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
7,0.8575400000000002,31989.67618329961,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
8,0.8568600000000001,30641.23496997099,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
9,0.8553200000000001,31318.09455825945,3,off,HNSW,../results/sift/streamseed_hybrid/test3-5w-updates/test3-5w-updates_final_results.csv
0,0.87654,29887.37111381888,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
1,0.87415,29201.00587876543,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
2,0.8707400000000002,28625.21566315054,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
3,0.8682000000000002,28421.931412834885,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
4,0.86455,27874.98238832872,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
5,0.8623200000000001,27870.370308844314,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
6,0.8589100000000001,27200.11517382753,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
7,0.85798,29439.14561073377,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
8,0.85616,29306.388874720426,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
9,0.85495,28713.398888788484,4,off,HNSW,../results/sift/streamseed_hybrid/test4-5w-updates/test4-5w-updates_final_results.csv
0,0.8748900000000002,28891.544703910684,1,on,HNSW-BriskSeed,../results/sift/streamseed_hybrid/test1-5w-updates-on/test1-5w-updates-on_final_results.csv
1,0.8683299999999999,49844.90255754506,1,on,HNSW-BriskSeed,../results/sift/streamseed_hybrid/test1-5w-updates-on/test1-5w-updates-on_final_results.csv
2,0.86967,44138.99935701064,1,on,HNSW-BriskSeed,../results/sift/streamseed_hybrid/test1-5w-updates-on/test1-5w-updates-on_final_results.csv
3,0.87175,52923.30210403457,1,on,HNSW-BriskSeed,../results/sift/streamseed_hybrid/test1-5w-updates-on/test1-5w-updates-on_final_results.csv
4,0.8749800000000001,54517.14748068187,1,on,HNSW-BriskSeed,../results/sift/streamseed_hybrid/test1-5w-updates-on/test1-5w-updates-on_final_results.csv
5,0.8776400000000002,54567.78912392131,1,on,HNSW-BriskSeed,../results/sift/streamseed_hybrid/test1-5w-updates-on/test1-5w-updates-on_final_results.csv
