batch_idx,recall,query_qps,mode,series,file
0,0.7289900000000001,11544.919805231444,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
1,0.7263700000000001,25938.030287288937,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
2,0.7272600000000002,25869.335402401222,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
3,0.72965,26301.226925387436,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
4,0.7297,26272.29757578263,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
5,0.7317299999999999,26072.92180803913,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
6,0.7326400000000001,25750.757609245535,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
7,0.73351,26262.756300037443,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
8,0.7343700000000001,26791.454439304573,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
9,0.7344200000000001,25943.19631155805,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
10,0.73516,26328.732520972324,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
11,0.73533,26328.60030381781,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
12,0.73618,26709.05163630436,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
13,0.73641,26789.19567980481,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
14,0.73692,24931.102654726285,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
15,0.73702,27429.34871462858,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
16,0.7374200000000001,26740.417436497704,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
17,0.7372399999999999,27663.19044139179,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
18,0.73808,27933.125193133503,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
19,0.7384,25332.446712342837,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
20,0.73862,28058.16270076738,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
21,0.7389299999999999,29856.947608200455,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
22,0.73839,27781.603204876046,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
23,0.73902,28753.53388909025,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
24,0.7392400000000001,24088.05688825996,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
25,0.73866,27187.201123985407,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
