system,label,hint_table_slots,hint_slot_capacity,config,trials,trial_dirs,rows,raw_rows,mean_recall,mean_query_qps,aggregation,sources
streamseed_hybrid,HNSW-BriskSeed,8000,30,slot8000-capacity30,3,test1-slot8000-capacity30;test2-slot8000-capacity30;test3-slot8000-capacity30,50,150,0.8835765999999999,46611.23639864258,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid/test1-slot8000-capacity30/test1-slot8000-capacity30_final_results.csv;results/sift/streamseed_hybrid/test2-slot8000-capacity30/test2-slot8000-capacity30_final_results.csv;results/sift/streamseed_hybrid/test3-slot8000-capacity30/test3-slot8000-capacity30_final_results.csv
streamseed_hybrid,HNSW-BriskSeed,6000,70,slot6000-capacity70,3,test1-slot6000-capacity70;test2-slot6000-capacity70;test3-slot6000-capacity70,50,150,0.8852066000000004,56496.16309464132,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid/test1-slot6000-capacity70/test1-slot6000-capacity70_final_results.csv;results/sift/streamseed_hybrid/test2-slot6000-capacity70/test2-slot6000-capacity70_final_results.csv;results/sift/streamseed_hybrid/test3-slot6000-capacity70/test3-slot6000-capacity70_final_results.csv
streamseed_hybrid,HNSW-BriskSeed,6000,50,slot6000-capacity50,3,test1-slot6000-capacity50;test2-slot6000-capacity50;test3-slot6000-capacity50,50,150,0.8838730000000001,50711.412985654475,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid/test1-slot6000-capacity50/test1-slot6000-capacity50_final_results.csv;results/sift/streamseed_hybrid/test2-slot6000-capacity50/test2-slot6000-capacity50_final_results.csv;results/sift/streamseed_hybrid/test3-slot6000-capacity50/test3-slot6000-capacity50_final_results.csv
streamseed_hybrid,HNSW-BriskSeed,6000,20,slot6000-capacity20,3,test1-slot6000-capacity20;test2-slot6000-capacity20;test3-slot6000-capacity20,50,150,0.8826969999999998,41319.66323766706,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid/test1-slot6000-capacity20/test1-slot6000-capacity20_final_results.csv;results/sift/streamseed_hybrid/test2-slot6000-capacity20/test2-slot6000-capacity20_final_results.csv;results/sift/streamseed_hybrid/test3-slot6000-capacity20/test3-slot6000-capacity20_final_results.csv
streamseed_hybrid,HNSW-BriskSeed,6000,10,slot6000-capacity10,3,test1-slot6000-capacity10;test2-slot6000-capacity10;test3-slot6000-capacity10,50,150,0.8824334000000004,28951.073295961865,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid/test1-slot6000-capacity10/test1-slot6000-capacity10_final_results.csv;results/sift/streamseed_hybrid/test2-slot6000-capacity10/test2-slot6000-capacity10_final_results.csv;results/sift/streamseed_hybrid/test3-slot6000-capacity10/test3-slot6000-capacity10_final_results.csv
streamseed_hybrid_symphonyqg,SymphonyQG-BriskSeed,8000,30,slot8000-capacity30,3,test1-slot8000-capacity30;test2-slot8000-capacity30;test3-slot8000-capacity30,50,150,0.6624914,23979.747282421296,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid_symphonyqg/test1-slot8000-capacity30/test1-slot8000-capacity30_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test2-slot8000-capacity30/test2-slot8000-capacity30_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test3-slot8000-capacity30/test3-slot8000-capacity30_final_results.csv
streamseed_hybrid_symphonyqg,SymphonyQG-BriskSeed,6000,70,slot6000-capacity70,3,test1-slot6000-capacity70;test2-slot6000-capacity70;test3-slot6000-capacity70,50,150,0.6626169999999999,33480.77451619403,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid_symphonyqg/test1-slot6000-capacity70/test1-slot6000-capacity70_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test2-slot6000-capacity70/test2-slot6000-capacity70_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test3-slot6000-capacity70/test3-slot6000-capacity70_final_results.csv
streamseed_hybrid_symphonyqg,SymphonyQG-BriskSeed,6000,50,slot6000-capacity50,3,test1-slot6000-capacity50;test2-slot6000-capacity50;test3-slot6000-capacity50,50,150,0.6628603999999999,30702.020408911038,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid_symphonyqg/test1-slot6000-capacity50/test1-slot6000-capacity50_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test2-slot6000-capacity50/test2-slot6000-capacity50_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test3-slot6000-capacity50/test3-slot6000-capacity50_final_results.csv
streamseed_hybrid_symphonyqg,SymphonyQG-BriskSeed,6000,20,slot6000-capacity20,3,test1-slot6000-capacity20;test2-slot6000-capacity20;test3-slot6000-capacity20,50,150,0.6627209999999998,19516.188626772608,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid_symphonyqg/test1-slot6000-capacity20/test1-slot6000-capacity20_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test2-slot6000-capacity20/test2-slot6000-capacity20_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test3-slot6000-capacity20/test3-slot6000-capacity20_final_results.csv
streamseed_hybrid_symphonyqg,SymphonyQG-BriskSeed,6000,10,slot6000-capacity10,3,test1-slot6000-capacity10;test2-slot6000-capacity10;test3-slot6000-capacity10,50,150,0.6628323999999999,14113.362156821117,per_batch_median_over_trials_then_mean,results/sift/streamseed_hybrid_symphonyqg/test1-slot6000-capacity10/test1-slot6000-capacity10_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test2-slot6000-capacity10/test2-slot6000-capacity10_final_results.csv;results/sift/streamseed_hybrid_symphonyqg/test3-slot6000-capacity10/test3-slot6000-capacity10_final_results.csv
