batch_idx,recall,query_qps,test_id,mode,series,file
0,0.879075,37750.14974310788,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
1,0.8768950000000001,36636.33949659693,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
2,0.87635,35980.83563165638,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
3,0.8764149999999999,35983.24335314814,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
4,0.8772550000000001,35938.275302023714,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
5,0.87425,35791.07344531526,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
6,0.8731300000000001,35667.306148550284,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
7,0.873495,36317.52760849876,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
8,0.8712850000000002,37220.73383602234,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
9,0.871755,37417.62185159198,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
10,0.8718400000000002,36406.26586799736,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
11,0.8713550000000001,36889.103683497895,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
12,0.867685,35315.97890120031,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
13,0.8682350000000001,36067.3294009551,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
14,0.8699600000000001,36534.58753271346,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
15,0.866525,36393.0459092678,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
16,0.867275,36439.95141691963,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
17,0.86711,36199.51616647809,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
18,0.86649,36177.00434023585,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
19,0.866245,34115.60643334335,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
20,0.8652850000000001,35561.162631776184,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
21,0.8658,36604.7497198552,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
22,0.8653850000000001,35895.677297800845,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
23,0.8635900000000002,35622.957391440235,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
24,0.86275,35355.02078242391,1,off,HNSW,../results/sift/streamseed_hybrid/test1-2wquery-off/test1-2wquery-off_final_results.csv
