mode,series,batch_idx,mean_query_qps,mean_recall,runs
off,HNSW,0,37301.95404434488,0.879738,5
off,HNSW,1,37745.93810767242,0.8775809999999999,5
off,HNSW,2,37252.470425512984,0.8772910000000002,5
off,HNSW,3,37523.29546946197,0.877186,5
off,HNSW,4,36601.361779301646,0.8772010000000001,5
off,HNSW,5,36587.727838708284,0.875131,5
off,HNSW,6,37027.779390798605,0.873676,5
off,HNSW,7,37040.11396149288,0.8742300000000001,5
off,HNSW,8,37332.240015471354,0.8727360000000001,5
off,HNSW,9,37243.97745944522,0.8724380000000002,5
off,HNSW,10,36425.31957548142,0.8722700000000001,5
off,HNSW,11,36480.87471029384,0.8717050000000001,5
off,HNSW,12,35847.14029046769,0.868413,5
off,HNSW,13,36098.40149723924,0.8688460000000001,5
off,HNSW,14,35562.00588653337,0.870039,5
off,HNSW,15,35663.13029194833,0.86739,5
off,HNSW,16,35664.24609568531,0.868425,5
off,HNSW,17,35902.5590231151,0.8675560000000001,5
off,HNSW,18,35985.093596459745,0.8665010000000001,5
off,HNSW,19,34215.3222570788,0.8665860000000001,5
off,HNSW,20,34608.665893298334,0.8652429999999999,5
off,HNSW,21,34481.91919796342,0.8657130000000001,5
off,HNSW,22,35771.50237559288,0.86563,5
off,HNSW,23,35640.97619752537,0.86365,5
off,HNSW,24,35124.10431619003,0.8627790000000001,5
off,HNSW,25,34976.34424565821,0.8615440000000001,5
off,HNSW,26,35025.292700032966,0.861963,5
off,HNSW,27,35294.73706964488,0.8623609999999999,5
off,HNSW,28,35037.55633831901,0.861942,5
off,HNSW,29,34762.7067105935,0.8606069999999999,5
off,HNSW,30,35015.397908239436,0.8606190000000001,5
off,HNSW,31,35033.87309293835,0.859887,5
off,HNSW,32,35064.382753327176,0.859917,5
off,HNSW,33,34791.315259278046,0.859172,5
off,HNSW,34,34045.872851608656,0.858703,5
off,HNSW,35,34147.135100485306,0.858519,5
off,HNSW,36,33804.06842626362,0.857625,5
off,HNSW,37,33454.736102678944,0.856842,5
off,HNSW,38,33636.41430825806,0.858492,5
off,HNSW,39,33852.14774475479,0.856899,5
off,HNSW,40,33597.58637949318,0.857403,5
off,HNSW,41,33448.625789852726,0.8566740000000002,5
off,HNSW,42,33437.17780503213,0.856852,5
off,HNSW,43,33492.56746021933,0.8571289999999999,5
off,HNSW,44,33599.87609907527,0.856058,5
off,HNSW,45,33247.96708863221,0.855438,5
off,HNSW,46,32718.84891214835,0.854631,5
off,HNSW,47,32785.44983444237,0.855505,5
off,HNSW,48,32522.978120284795,0.853919,5
off,HNSW,49,32607.012217775908,0.8550169999999999,5
on,HNSW-BriskSeed,0,36293.90993190462,0.880265,5
on,HNSW-BriskSeed,1,50030.36275382374,0.8771340000000001,5
on,HNSW-BriskSeed,2,57352.13915101035,0.876355,5
on,HNSW-BriskSeed,3,59683.116084374815,0.8783090000000001,5
on,HNSW-BriskSeed,4,62457.71235700815,0.8791590000000001,5
